sample,celltype,n,frac,group
HK1594,Baso/Mast,1,0.00035855145213338117,HKD
HK1594,CD14_Mono,327,0.11724632484761563,HKD
HK1594,CD16_Mono,535,0.1918250268913589,HKD
HK1594,CD4T,265,0.095016134815346,HKD
HK1594,CD8T,435,0.15596988167802078,HKD
HK1594,C_TAL,13,0.004661168877733955,HKD
HK1594,DCT1,56,0.020078881319469343,HKD
HK1594,DCT2,13,0.004661168877733955,HKD
HK1594,Endo_GC,109,0.039082108282538545,HKD
HK1594,Endo_Peritubular,40,0.014342058085335245,HKD
HK1594,Fibroblast_1,1,0.00035855145213338117,HKD
HK1594,Fibroblast_2,1,0.00035855145213338117,HKD
HK1594,GS_Stromal,3,0.0010756543564001434,HKD
HK1594,IC_A,312,0.11186805306561491,HKD
HK1594,IC_B,1,0.00035855145213338117,HKD
HK1594,M_TAL,4,0.0014342058085335247,HKD
HK1594,Mac,34,0.012190749372534958,HKD
HK1594,MyoFib/VSMC,1,0.00035855145213338117,HKD
HK1594,NK,238,0.0853352456077447,HKD
HK1594,Neural_Cells,1,0.00035855145213338117,HKD
HK1594,Neutrophil,145,0.05198996055934026,HKD
HK1594,PC,2,0.0007171029042667623,HKD
HK1594,PT_S1,90,0.0322696306920043,HKD
HK1594,PT_S2,80,0.02868411617067049,HKD
HK1594,PT_S3,35,0.01254930082466834,HKD
HK1594,Prolif_Lym,4,0.0014342058085335247,HKD
HK1594,cDC,3,0.0010756543564001434,HKD
HK1594,iPT,4,0.0014342058085335247,HKD
HK1597,Ascending_Thin_LOH,68,0.014573510501500214,HKD
HK1597,B_Naive,554,0.11873124732104587,HKD
HK1597,B_memory,8,0.0017145306472353193,HKD
HK1597,Baso/Mast,7,0.0015002143163309043,HKD
HK1597,CD14_Mono,109,0.023360480068581227,HKD
HK1597,CD16_Mono,381,0.08165452207458208,HKD
HK1597,CD4T,403,0.08636948135447921,HKD
HK1597,CD8T,615,0.13180454350621518,HKD
HK1597,CNT,202,0.043291898842691814,HKD
HK1597,C_TAL,78,0.016716673810544362,HKD
HK1597,DCT1,96,0.020574367766823833,HKD
HK1597,DCT2,238,0.05100728675525075,HKD
HK1597,Des-Thin_Limb,23,0.004929275610801543,HKD
HK1597,Endo_GC,156,0.033433347621088724,HKD
HK1597,Endo_Peritubular,89,0.019074153450492928,HKD
HK1597,Fibroblast_1,2,0.0004286326618088298,HKD
HK1597,GS_Stromal,4,0.0008572653236176596,HKD
HK1597,IC_A,337,0.07222460351478782,HKD
HK1597,IC_B,57,0.01221603086155165,HKD
HK1597,M_TAL,5,0.0010715816545220746,HKD
HK1597,Mac,247,0.052936133733390484,HKD
HK1597,Macula_Densa,69,0.01478782683240463,HKD
HK1597,NK,63,0.01350192884697814,HKD
HK1597,Neural_Cells,17,0.0036433776253750536,HKD
HK1597,Neutrophil,151,0.032361765966566654,HKD
HK1597,PC,25,0.005357908272610373,HKD
HK1597,PEC,16,0.0034290612944706386,HKD
HK1597,PT_S1,392,0.08401200171453065,HKD
HK1597,PT_S2,129,0.027646806686669523,HKD
HK1597,PT_S3,84,0.018002571795970854,HKD
HK1597,Plasma_Cells,1,0.0002143163309044149,HKD
HK1597,cDC,3,0.0006429489927132448,HKD
HK1597,iPT,33,0.007072438919845692,HKD
HK1597,pDC,4,0.0008572653236176596,HKD
HK1632,Ascending_Thin_LOH,86,0.015003489183531053,DKD
HK1632,B_Naive,74,0.012909979064898814,DKD
HK1632,B_memory,4,0.0006978367062107466,DKD
HK1632,Baso/Mast,1,0.00017445917655268666,DKD
HK1632,CD14_Mono,199,0.03471737613398465,DKD
HK1632,CD16_Mono,481,0.08391486392184229,DKD
HK1632,CD4T,266,0.04640614096301465,DKD
HK1632,CD8T,659,0.11496859734822051,DKD
HK1632,CNT,194,0.03384508025122122,DKD
HK1632,C_TAL,222,0.03872993719469644,DKD
HK1632,DCT1,102,0.01779483600837404,DKD
HK1632,DCT2,290,0.05059316120027914,DKD
HK1632,Des-Thin_Limb,5,0.0008722958827634334,DKD
HK1632,Endo_GC,273,0.04762735519888346,DKD
HK1632,Endo_Peritubular,106,0.01849267271458479,DKD
HK1632,Fibroblast_1,3,0.00052337752965806,DKD
HK1632,Fibroblast_2,3,0.00052337752965806,DKD
HK1632,IC_A,1558,0.27180739706908585,DKD
HK1632,IC_B,185,0.03227494766224703,DKD
HK1632,M_TAL,38,0.006629448709002094,DKD
HK1632,Mac,237,0.04134682484298674,DKD
HK1632,Macula_Densa,105,0.0183182135380321,DKD
HK1632,MyoFib/VSMC,11,0.0019190509420795533,DKD
HK1632,NK,148,0.025819958129797628,DKD
HK1632,Neural_Cells,2,0.0003489183531053733,DKD
HK1632,Neutrophil,107,0.018667131891137473,DKD
HK1632,PC,174,0.03035589672016748,DKD
HK1632,PEC,9,0.00157013258897418,DKD
HK1632,PT_S1,61,0.010642009769713887,DKD
HK1632,PT_S2,64,0.011165387299371946,DKD
HK1632,PT_S3,22,0.0038381018841591066,DKD
HK1632,Podo,8,0.0013956734124214933,DKD
HK1632,cDC,5,0.0008722958827634334,DKD
HK1632,iPT,25,0.004361479413817167,DKD
HK1632,pDC,5,0.0008722958827634334,DKD
HK1634,Ascending_Thin_LOH,14,0.0022522522522522522,DKD
HK1634,B_Naive,142,0.022844272844272845,DKD
HK1634,B_memory,89,0.014317889317889318,DKD
HK1634,Baso/Mast,121,0.019465894465894466,DKD
HK1634,CD14_Mono,191,0.030727155727155727,DKD
HK1634,CD16_Mono,216,0.03474903474903475,DKD
HK1634,CD4T,1050,0.16891891891891891,DKD
HK1634,CD8T,1194,0.1920849420849421,DKD
HK1634,CNT,12,0.0019305019305019305,DKD
HK1634,C_TAL,23,0.0037001287001287003,DKD
HK1634,DCT1,1,0.00016087516087516087,DKD
HK1634,DCT2,10,0.0016087516087516086,DKD
HK1634,Endo_GC,1901,0.30582368082368083,DKD
HK1634,Endo_Peritubular,199,0.03201415701415702,DKD
HK1634,Fibroblast_1,32,0.005148005148005148,DKD
HK1634,Fibroblast_2,22,0.0035392535392535394,DKD
HK1634,GS_Stromal,4,0.0006435006435006435,DKD
HK1634,IC_A,8,0.001287001287001287,DKD
HK1634,IC_B,3,0.00048262548262548264,DKD
HK1634,M_TAL,3,0.00048262548262548264,DKD
HK1634,Mac,202,0.0324967824967825,DKD
HK1634,Macula_Densa,14,0.0022522522522522522,DKD
HK1634,Mes,1,0.00016087516087516087,DKD
HK1634,MyoFib/VSMC,42,0.006756756756756757,DKD
HK1634,NK,470,0.07561132561132561,DKD
HK1634,Neural_Cells,1,0.00016087516087516087,DKD
HK1634,Neutrophil,122,0.019626769626769628,DKD
HK1634,PC,8,0.001287001287001287,DKD
HK1634,PEC,2,0.00032175032175032174,DKD
HK1634,PT_S1,47,0.007561132561132561,DKD
HK1634,PT_S2,15,0.002413127413127413,DKD
HK1634,PT_S3,9,0.0014478764478764478,DKD
HK1634,Plasma_Cells,2,0.00032175032175032174,DKD
HK1634,Podo,3,0.00048262548262548264,DKD
HK1634,Prolif_Lym,5,0.0008043758043758043,DKD
HK1634,cDC,20,0.0032175032175032173,DKD
HK1634,iPT,8,0.001287001287001287,DKD
HK1634,pDC,10,0.0016087516087516086,DKD
HK1635,B_Naive,39,0.008569545154911009,DKD
HK1635,B_memory,11,0.0024170511975390024,DKD
HK1635,CD14_Mono,11,0.0024170511975390024,DKD
HK1635,CD16_Mono,356,0.07822456602944408,DKD
HK1635,CD4T,337,0.07404965941551307,DKD
HK1635,CD8T,1906,0.41880905295539445,DKD
HK1635,CNT,7,0.0015381234893430016,DKD
HK1635,C_TAL,10,0.002197319270490002,DKD
HK1635,DCT1,3,0.0006591957811470006,DKD
HK1635,DCT2,2,0.00043946385409800046,DKD
HK1635,Des-Thin_Limb,4,0.0008789277081960009,DKD
HK1635,Endo_GC,148,0.032520325203252036,DKD
HK1635,Endo_Peritubular,11,0.0024170511975390024,DKD
HK1635,GS_Stromal,6,0.0013183915622940012,DKD
HK1635,IC_A,5,0.001098659635245001,DKD
HK1635,IC_B,1,0.00021973192704900023,DKD
HK1635,M_TAL,23,0.005053834322127005,DKD
HK1635,Mac,60,0.013183915622940013,DKD
HK1635,Macula_Densa,1,0.00021973192704900023,DKD
HK1635,NK,1153,0.25335091188749725,DKD
HK1635,Neural_Cells,2,0.00043946385409800046,DKD
HK1635,Neutrophil,72,0.015820698747528016,DKD
HK1635,PT_S1,225,0.049439683586025046,DKD
HK1635,PT_S2,76,0.016699626455724016,DKD
HK1635,PT_S3,30,0.0065919578114700065,DKD
HK1635,Plasma_Cells,3,0.0006591957811470006,DKD
HK1635,Podo,2,0.00043946385409800046,DKD
HK1635,Prolif_Lym,9,0.001977587343441002,DKD
HK1635,RBC,31,0.0068116897385190065,DKD
HK1635,cDC,3,0.0006591957811470006,DKD
HK1635,iPT,4,0.0008789277081960009,DKD
HK1650,Ascending_Thin_LOH,5,0.00031304783370899073,HKD
HK1650,B_Naive,96,0.006010518407212622,HKD
HK1650,Baso/Mast,10,0.0006260956674179815,HKD
HK1650,CD14_Mono,367,0.02297771099423992,HKD
HK1650,CD16_Mono,1574,0.09854745805159028,HKD
HK1650,CD4T,854,0.053468569997495614,HKD
HK1650,CD8T,5195,0.32525669922364137,HKD
HK1650,CNT,28,0.001753067868770348,HKD
HK1650,C_TAL,19,0.0011895817680941648,HKD
HK1650,DCT1,5,0.00031304783370899073,HKD
HK1650,DCT2,6,0.0003756574004507889,HKD
HK1650,Des-Thin_Limb,22,0.0013774104683195593,HKD
HK1650,Endo_GC,3123,0.1955296769346356,HKD
HK1650,Endo_Peritubular,545,0.03412221387427999,HKD
HK1650,Fibroblast_1,12,0.0007513148009015778,HKD
HK1650,Fibroblast_2,139,0.008702729777109942,HKD
HK1650,GS_Stromal,93,0.005822689706987227,HKD
HK1650,IC_A,16,0.0010017530678687703,HKD
HK1650,IC_B,7,0.000438266967192587,HKD
HK1650,M_TAL,21,0.001314800901577761,HKD
HK1650,Mac,113,0.007074881041823191,HKD
HK1650,Macula_Densa,8,0.0005008765339343851,HKD
HK1650,MyoFib/VSMC,3,0.00018782870022539445,HKD
HK1650,NK,2001,0.1252817430503381,HKD
HK1650,Neural_Cells,12,0.0007513148009015778,HKD
HK1650,Neutrophil,355,0.02222639619333834,HKD
HK1650,PC,1,6.260956674179814e-05,HKD
HK1650,PEC,4,0.00025043826696719256,HKD
HK1650,PT_S1,294,0.018407212622088654,HKD
HK1650,PT_S2,387,0.024229902329075882,HKD
HK1650,PT_S3,493,0.030866516403706485,HKD
HK1650,Podo,35,0.0021913348359629352,HKD
HK1650,Prolif_Lym,15,0.0009391435011269722,HKD
HK1650,RBC,12,0.0007513148009015778,HKD
HK1650,cDC,66,0.004132231404958678,HKD
HK1650,iPT,20,0.001252191334835963,HKD
HK1650,pDC,16,0.0010017530678687703,HKD
HK1664,Ascending_Thin_LOH,2,0.0002926115581565472,Control
HK1664,B_Naive,66,0.009656181419166058,Control
HK1664,Baso/Mast,5,0.000731528895391368,Control
HK1664,CD14_Mono,77,0.011265544989027066,Control
HK1664,CD16_Mono,849,0.12421360643745429,Control
HK1664,CD4T,653,0.09553767373811266,Control
HK1664,CD8T,805,0.11777615215801024,Control
HK1664,CNT,13,0.0019019751280175566,Control
HK1664,C_TAL,9,0.0013167520117044623,Control
HK1664,DCT1,4,0.0005852231163130944,Control
HK1664,DCT2,1,0.0001463057790782736,Control
HK1664,Des-Thin_Limb,16,0.0023408924652523777,Control
HK1664,Endo_GC,3,0.0004389173372348208,Control
