sample,celltype,n,frac,group
HK2662,pDC,15,0.012155591572123177,Control
HK2663,Ascending_Thin_LOH,42,0.006188301163989981,Control
HK2663,B_Naive,7,0.0010313835273316634,Control
HK2663,B_memory,20,0.002946810078090467,Control
HK2663,CD14_Mono,2,0.0002946810078090467,Control
HK2663,CD16_Mono,12,0.0017680860468542803,Control
HK2663,CD4T,52,0.007661706203035214,Control
HK2663,CD8T,70,0.010313835273316635,Control
HK2663,CNT,430,0.06335641667894504,Control
HK2663,C_TAL,174,0.025637247679387062,Control
HK2663,DCT1,256,0.037719168999557975,Control
HK2663,DCT2,229,0.03374097539413585,Control
HK2663,Des-Thin_Limb,131,0.01930160601149256,Control
HK2663,Endo_GC,467,0.06880801532341241,Control
HK2663,Endo_Lymphatic,4,0.0005893620156180934,Control
HK2663,Endo_Peritubular,633,0.09326653897156328,Control
HK2663,Fibroblast_1,273,0.04022395756593487,Control
HK2663,Fibroblast_2,43,0.006335641667894504,Control
HK2663,GS_Stromal,11,0.0016207455429497568,Control
HK2663,IC_A,316,0.04655959923382938,Control
HK2663,IC_B,207,0.030499484308236333,Control
HK2663,Mac,57,0.00839840872255783,Control
HK2663,Macula_Densa,102,0.015028731398261382,Control
HK2663,Mes,76,0.011197878296743775,Control
HK2663,MyoFib/VSMC,11,0.0016207455429497568,Control
HK2663,Neural_Cells,3,0.0004420215117135701,Control
HK2663,Neutrophil,11,0.0016207455429497568,Control
HK2663,PC,191,0.02814203624576396,Control
HK2663,PEC,39,0.005746279652276411,Control
HK2663,PT_S1,1352,0.19920436127891558,Control
HK2663,PT_S2,634,0.09341387947546781,Control
HK2663,PT_S3,402,0.059230882569618386,Control
HK2663,Plasma_Cells,2,0.0002946810078090467,Control
HK2663,Podo,106,0.015618093413879475,Control
HK2663,RBC,1,0.00014734050390452334,Control
HK2663,cDC,1,0.00014734050390452334,Control
HK2663,iPT,420,0.06188301163989981,Control
HK2711,Ascending_Thin_LOH,3,0.00017375188231205839,HKD
HK2711,B_Naive,11,0.0006370902351442141,HKD
HK2711,B_memory,6,0.00034750376462411677,HKD
HK2711,CD14_Mono,4,0.00023166917641607784,HKD
HK2711,CD16_Mono,81,0.004691300822425576,HKD
HK2711,CD4T,169,0.009788022703579289,HKD
HK2711,CD8T,212,0.012278466350052126,HKD
HK2711,CNT,458,0.02652612069964091,HKD
HK2711,C_TAL,3084,0.178616935016796,HKD
HK2711,DCT1,372,0.02154523340669524,HKD
HK2711,DCT2,87,0.005038804587049693,HKD
HK2711,Des-Thin_Limb,128,0.007413413645314491,HKD
HK2711,Endo_GC,389,0.02252982740646357,HKD
HK2711,Endo_Lymphatic,1,5.791729410401946e-05,HKD
HK2711,Endo_Peritubular,1792,0.10378779103440287,HKD
HK2711,Fibroblast_1,401,0.023224834935711803,HKD
HK2711,Fibroblast_2,149,0.0086296768214989,HKD
HK2711,GS_Stromal,40,0.0023166917641607786,HKD
HK2711,IC_A,922,0.05339974516390594,HKD
HK2711,IC_B,128,0.007413413645314491,HKD
HK2711,M_TAL,5417,0.3137379821614734,HKD
HK2711,Mac,153,0.008861345997914978,HKD
HK2711,Macula_Densa,235,0.013610564114444574,HKD
HK2711,Mes,13,0.000752924823352253,HKD
HK2711,MyoFib/VSMC,50,0.002895864705200973,HKD
HK2711,NK,15,0.0008687594115602919,HKD
HK2711,Neural_Cells,8,0.0004633383528321557,HKD
HK2711,Neutrophil,7,0.0004054210587281362,HKD
HK2711,PC,1396,0.08085254256921116,HKD
HK2711,PEC,100,0.005791729410401946,HKD
HK2711,PT_S1,190,0.011004285879763697,HKD
HK2711,PT_S2,243,0.014073902467276729,HKD
HK2711,PT_S3,554,0.03208618093362678,HKD
HK2711,Plasma_Cells,6,0.00034750376462411677,HKD
HK2711,Podo,42,0.0024325263523688172,HKD
HK2711,Prolif_Lym,2,0.00011583458820803892,HKD
HK2711,RBC,4,0.00023166917641607784,HKD
HK2711,cDC,2,0.00011583458820803892,HKD
HK2711,iPT,392,0.02270357928877563,HKD
HK2713,Ascending_Thin_LOH,5,0.0029342723004694834,Control
HK2713,B_memory,1,0.0005868544600938967,Control
HK2713,CD4T,2,0.0011737089201877935,Control
HK2713,CD8T,1,0.0005868544600938967,Control
HK2713,CNT,87,0.051056338028169015,Control
HK2713,C_TAL,91,0.0534037558685446,Control
HK2713,DCT1,105,0.061619718309859156,Control
HK2713,DCT2,55,0.03227699530516432,Control
HK2713,Des-Thin_Limb,20,0.011737089201877934,Control
HK2713,Endo_GC,17,0.009976525821596244,Control
HK2713,Endo_Peritubular,7,0.004107981220657277,Control
HK2713,Fibroblast_2,1,0.0005868544600938967,Control
HK2713,GS_Stromal,1,0.0005868544600938967,Control
HK2713,IC_A,134,0.07863849765258216,Control
HK2713,IC_B,24,0.014084507042253521,Control
HK2713,M_TAL,4,0.002347417840375587,Control
HK2713,Macula_Densa,23,0.013497652582159625,Control
HK2713,PC,74,0.04342723004694836,Control
HK2713,PT_S1,335,0.1965962441314554,Control
HK2713,PT_S2,325,0.19072769953051644,Control
HK2713,PT_S3,207,0.12147887323943662,Control
HK2713,Podo,26,0.015258215962441314,Control
HK2713,iPT,159,0.09330985915492958,Control
HK2739,Ascending_Thin_LOH,33,0.002420952241214878,HKD
HK2739,B_Naive,20,0.0014672437825544713,HKD
HK2739,B_memory,14,0.00102707064778813,HKD
HK2739,CD14_Mono,2,0.00014672437825544713,HKD
HK2739,CD16_Mono,21,0.001540605971682195,HKD
HK2739,CD4T,5,0.00036681094563861783,HKD
HK2739,CD8T,44,0.003227936321619837,HKD
HK2739,CNT,1076,0.07893771550143057,HKD
HK2739,C_TAL,677,0.04966620203946886,HKD
HK2739,DCT1,1239,0.0908957523292495,HKD
HK2739,DCT2,789,0.0578827672217739,HKD
HK2739,Des-Thin_Limb,166,0.012178123395202113,HKD
HK2739,Endo_GC,201,0.014745800014672438,HKD
HK2739,Endo_Lymphatic,16,0.001173795026043577,HKD
HK2739,Endo_Peritubular,1021,0.07490279509940577,HKD
HK2739,Fibroblast_1,72,0.005282077617196097,HKD
HK2739,Fibroblast_2,39,0.002861125375981219,HKD
HK2739,GS_Stromal,14,0.00102707064778813,HKD
HK2739,IC_A,664,0.04871249358080845,HKD
HK2739,IC_B,28,0.00205414129557626,HKD
HK2739,M_TAL,72,0.005282077617196097,HKD
HK2739,Mac,23,0.0016873303499376421,HKD
HK2739,Macula_Densa,528,0.03873523585943805,HKD
HK2739,Mes,3,0.00022008656738317073,HKD
HK2739,NK,2,0.00014672437825544713,HKD
HK2739,Neural_Cells,5,0.00036681094563861783,HKD
HK2739,Neutrophil,1,7.336218912772357e-05,HKD
HK2739,PC,144,0.010564155234392194,HKD
HK2739,PEC,10,0.0007336218912772357,HKD
HK2739,PT_S1,2943,0.21590492260289046,HKD
HK2739,PT_S2,1157,0.08488005282077617,HKD
HK2739,PT_S3,456,0.033453158242241945,HKD
HK2739,Plasma_Cells,3,0.00022008656738317073,HKD
HK2739,Podo,8,0.0005868975130217885,HKD
HK2739,RBC,1,7.336218912772357e-05,HKD
HK2739,cDC,2,0.00014672437825544713,HKD
HK2739,iPT,2132,0.15640818722030667,HKD
HK2770,Ascending_Thin_LOH,4,0.0005083884087442806,HKD
HK2770,B_Naive,8,0.0010167768174885613,HKD
HK2770,B_memory,11,0.0013980681240467717,HKD
HK2770,Baso/Mast,1,0.00012709710218607016,HKD
HK2770,CD14_Mono,1,0.00012709710218607016,HKD
HK2770,CD16_Mono,11,0.0013980681240467717,HKD
HK2770,CD4T,338,0.04295882053889171,HKD
HK2770,CD8T,433,0.05503304524656838,HKD
HK2770,CNT,276,0.03507880020335536,HKD
HK2770,C_TAL,390,0.049567869852567364,HKD
HK2770,DCT1,536,0.0681240467717336,HKD
HK2770,DCT2,253,0.03215556685307575,HKD
HK2770,Des-Thin_Limb,405,0.05147432638535841,HKD
HK2770,Endo_GC,135,0.017158108795119472,HKD
HK2770,Endo_Lymphatic,2,0.0002541942043721403,HKD
HK2770,Endo_Peritubular,455,0.05782918149466192,HKD
HK2770,Fibroblast_1,53,0.0067361464158617185,HKD
HK2770,Fibroblast_2,14,0.0017793594306049821,HKD
HK2770,GS_Stromal,6,0.000762582613116421,HKD
HK2770,IC_A,562,0.07142857142857142,HKD
HK2770,IC_B,77,0.009786476868327402,HKD
HK2770,M_TAL,52,0.0066090493136756485,HKD
HK2770,Mac,27,0.0034316217590238942,HKD
HK2770,Macula_Densa,93,0.011820030503304525,HKD
HK2770,Mes,1,0.00012709710218607016,HKD
HK2770,MyoFib/VSMC,1,0.00012709710218607016,HKD
HK2770,NK,149,0.018937468225724452,HKD
HK2770,Neural_Cells,5,0.0006354855109303507,HKD
HK2770,Neutrophil,232,0.029486527707168277,HKD
HK2770,PC,186,0.02364006100660905,HKD
HK2770,PEC,10,0.0012709710218607015,HKD
HK2770,PT_S1,1049,0.1333248601931876,HKD
HK2770,PT_S2,665,0.08451957295373666,HKD
HK2770,PT_S3,616,0.07829181494661921,HKD
HK2770,Plasma_Cells,3,0.0003812913065582105,HKD
HK2770,Podo,166,0.021098118962887647,HKD
HK2770,Prolif_Lym,2,0.0002541942043721403,HKD
HK2770,RBC,71,0.009023894255210982,HKD
HK2770,cDC,1,0.00012709710218607016,HKD
HK2770,iPT,567,0.07206405693950178,HKD
HK2770,pDC,1,0.00012709710218607016,HKD
HK2774,Ascending_Thin_LOH,38,0.0019867203429706696,HKD
HK2774,B_Naive,204,0.010665551314895175,HKD
HK2774,B_memory,1165,0.06090866314633764,HKD
HK2774,Baso/Mast,23,0.0012024886286401421,HKD
HK2774,CD14_Mono,10,0.0005228211428870183,HKD
HK2774,CD16_Mono,284,0.014848120457991321,HKD
HK2774,CD4T,1961,0.1025252261201443,HKD
HK2774,CD8T,1477,0.0772206828044126,HKD
HK2774,CNT,787,0.041146023945208346,HKD
HK2774,C_TAL,767,0.04010038165943431,HKD
HK2774,DCT1,6,0.000313692685732211,HKD
HK2774,DCT2,255,0.013331939143618968,HKD
HK2774,Des-Thin_Limb,50,0.0026141057144350916,HKD
HK2774,Endo_GC,402,0.021017409944058138,HKD
HK2774,Endo_Lymphatic,16,0.0008365138286192293,HKD
HK2774,Endo_Peritubular,1575,0.0823443300047054,HKD
HK2774,Fibroblast_1,1330,0.06953521200397345,HKD
HK2774,Fibroblast_2,287,0.015004966800857427,HKD
HK2774,GS_Stromal,845,0.04417838657395305,HKD
HK2774,IC_A,20,0.0010456422857740367,HKD
HK2774,IC_B,51,0.0026663878287237937,HKD
HK2774,M_TAL,24,0.001254770742928844,HKD
HK2774,Mac,640,0.03346055314476917,HKD
HK2774,Macula_Densa,156,0.008156009829037487,HKD
HK2774,Mes,131,0.00684895697181994,HKD
HK2774,MyoFib/VSMC,93,0.004862236628849271,HKD
HK2774,NK,151,0.007894599257593978,HKD
HK2774,Neural_Cells,383,0.020024049772572803,HKD
HK2774,Neutrophil,175,0.009149370000522822,HKD
HK2774,PC,25,0.0013070528572175458,HKD
HK2774,PEC,115,0.006012443143200711,HKD
HK2774,PT_S1,101,0.005280493543158886,HKD
HK2774,PT_S2,134,0.007005803314686046,HKD
HK2774,PT_S3,164,0.008574266743347101,HKD
HK2774,Plasma_Cells,246,0.012861400115020651,HKD
HK2774,Podo,648,0.033878810059078786,HKD
HK2774,Prolif_Lym,15,0.0007842317143305275,HKD
HK2774,RBC,7,0.00036597480002091283,HKD
HK2774,cDC,3,0.0001568463428661055,HKD
HK2774,iPT,4320,0.22585873372719192,HKD
HK2774,pDC,43,0.002248130914414179,HKD
HK2833,Ascending_Thin_LOH,6,0.0007712082262210797,Control
HK2833,B_Naive,8,0.0010282776349614395,Control
HK2833,B_memory,2,0.0002570694087403599,Control
HK2833,CD14_Mono,8,0.0010282776349614395,Control
HK2833,CD16_Mono,14,0.0017994858611825194,Control
HK2833,CD4T,46,0.005912596401028277,Control
HK2833,CD8T,70,0.008997429305912597,Control
HK2833,CNT,338,0.043444730077120824,Control
HK2833,C_TAL,870,0.11182519280205655,Control
HK2833,DCT1,452,0.05809768637532134,Control
HK2833,DCT2,284,0.03650385604113111,Control
HK2833,Des-Thin_Limb,420,0.05398457583547558,Control
HK2833,Endo_GC,143,0.018380462724935733,Control
HK2833,Endo_Lymphatic,2,0.0002570694087403599,Control
HK2833,Endo_Peritubular,842,0.10822622107969151,Control
HK2833,Fibroblast_1,18,0.002313624678663239,Control
HK2833,Fibroblast_2,20,0.002570694087403599,Control
HK2833,GS_Stromal,22,0.002827763496143959,Control
HK2833,IC_A,763,0.0980719794344473,Control
HK2833,IC_B,258,0.033161953727506424,Control
HK2833,M_TAL,175,0.02249357326478149,Control
HK2833,Mac,8,0.0010282776349614395,Control
HK2833,Macula_Densa,158,0.02030848329048843,Control
HK2833,Mes,1,0.00012853470437017994,Control
HK2833,NK,4,0.0005141388174807198,Control
HK2833,Neural_Cells,18,0.002313624678663239,Control
HK2833,Neutrophil,23,0.0029562982005141387,Control
HK2833,PC,645,0.08290488431876607,Control
HK2833,PEC,5,0.0006426735218508997,Control
HK2833,PT_S1,1304,0.16760925449871467,Control
HK2833,PT_S2,352,0.04524421593830334,Control
HK2833,PT_S3,92,0.011825192802056555,Control
HK2833,Plasma_Cells,1,0.00012853470437017994,Control
HK2833,Podo,4,0.0005141388174807198,Control
HK2833,RBC,3,0.00038560411311053987,Control
HK2833,iPT,401,0.05154241645244216,Control
HK2844,Ascending_Thin_LOH,7,0.0008541793776693106,DKD
HK2844,B_Naive,14,0.0017083587553386212,DKD
HK2844,B_memory,11,0.0013422818791946308,DKD
HK2844,CD16_Mono,18,0.0021964612568639414,DKD
HK2844,CD4T,33,0.004026845637583893,DKD
HK2844,CD8T,121,0.01476510067114094,DKD
HK2844,CNT,278,0.03392312385600976,DKD
HK2844,C_TAL,715,0.087248322147651,DKD
HK2844,DCT1,444,0.05417937766931055,DKD
HK2844,DCT2,314,0.03831604636973764,DKD
HK2844,Des-Thin_Limb,72,0.008785845027455766,DKD
HK2844,Endo_GC,132,0.016107382550335572,DKD
HK2844,Endo_Lymphatic,11,0.0013422818791946308,DKD
HK2844,Endo_Peritubular,621,0.07577791336180598,DKD
HK2844,Fibroblast_1,540,0.06589383770591824,DKD
HK2844,Fibroblast_2,44,0.005369127516778523,DKD
HK2844,GS_Stromal,9,0.0010982306284319707,DKD
HK2844,IC_A,280,0.034167175106772425,DKD
HK2844,IC_B,192,0.023428920073215374,DKD
HK2844,M_TAL,137,0.016717510677242222,DKD
HK2844,Mac,59,0.007199511897498474,DKD
HK2844,Macula_Densa,397,0.048444173276388044,DKD
HK2844,Mes,1,0.00012202562538133008,DKD
HK2844,NK,4,0.0004881025015253203,DKD
HK2844,Neural_Cells,2,0.00024405125076266016,DKD
HK2844,PC,579,0.07065283709579012,DKD
HK2844,PEC,39,0.004758999389871873,DKD
HK2844,PT_S1,1515,0.18486882245271508,DKD
HK2844,PT_S2,756,0.09225137278828555,DKD
HK2844,PT_S3,216,0.0263575350823673,DKD
HK2844,Plasma_Cells,4,0.0004881025015253203,DKD
HK2844,Podo,1,0.00012202562538133008,DKD
HK2844,cDC,1,0.00012202562538133008,DKD
HK2844,iPT,628,0.07663209273947529,DKD
HK2862,Ascending_Thin_LOH,8,0.0008493470644442085,DKD
HK2862,B_Naive,118,0.012527869200552075,DKD
HK2862,B_memory,184,0.019534982482216797,DKD
HK2862,CD14_Mono,1,0.00010616838305552606,DKD
HK2862,CD16_Mono,64,0.006794776515553668,DKD
HK2862,CD4T,837,0.08886293661747531,DKD
HK2862,CD8T,308,0.03269986198110203,DKD
HK2862,CNT,602,0.06391336659942669,DKD
HK2862,C_TAL,396,0.04204267968998832,DKD
HK2862,DCT1,73,0.007750291963053403,DKD
HK2862,DCT2,408,0.04331670028665464,DKD
HK2862,Des-Thin_Limb,25,0.0026542095763881514,DKD
HK2862,Endo_GC,169,0.017942456736383904,DKD
HK2862,Endo_Lymphatic,26,0.0027603779594436778,DKD
HK2862,Endo_Peritubular,320,0.033973882577768344,DKD
HK2862,Fibroblast_1,959,0.1018154793502495,DKD
HK2862,Fibroblast_2,206,0.02187068690943837,DKD
HK2862,GS_Stromal,26,0.0027603779594436778,DKD
HK2862,IC_A,304,0.03227518844887992,DKD
HK2862,IC_B,17,0.0018048625119439431,DKD
HK2862,M_TAL,16,0.001698694128888417,DKD
HK2862,Mac,182,0.019322645716105744,DKD
HK2862,Macula_Densa,680,0.07219450047775772,DKD
HK2862,Mes,15,0.001592525745832891,DKD
HK2862,MyoFib/VSMC,27,0.0028665463424992037,DKD
HK2862,NK,2,0.00021233676611105213,DKD
HK2862,Neural_Cells,58,0.006157766217220512,DKD
HK2862,Neutrophil,3,0.0003185051491665782,DKD
HK2862,PC,45,0.0047775772374986725,DKD
HK2862,PEC,18,0.0019110308949994693,DKD
HK2862,PT_S1,15,0.001592525745832891,DKD
HK2862,PT_S2,58,0.006157766217220512,DKD
HK2862,PT_S3,81,0.008599639027497611,DKD
HK2862,Plasma_Cells,34,0.0036097250238878863,DKD
HK2862,Podo,2,0.00021233676611105213,DKD
HK2862,iPT,3132,0.33251937572990764,DKD
HK2867,Ascending_Thin_LOH,3,0.0002709537572254335,Control
HK2867,B_Naive,8,0.000722543352601156,Control
HK2867,B_memory,2,0.000180635838150289,Control
HK2867,CD14_Mono,1,9.03179190751445e-05,Control
HK2867,CD16_Mono,29,0.0026192196531791907,Control
HK2867,CD4T,82,0.0074060693641618495,Control
HK2867,CD8T,279,0.02519869942196532,Control
HK2867,CNT,80,0.0072254335260115606,Control
HK2867,C_TAL,1172,0.10585260115606937,Control
HK2867,DCT1,976,0.08815028901734104,Control
HK2867,DCT2,153,0.013818641618497109,Control
HK2867,Des-Thin_Limb,78,0.007044797687861272,Control
HK2867,Endo_GC,277,0.025018063583815028,Control
HK2867,Endo_Lymphatic,1,9.03179190751445e-05,Control
HK2867,Endo_Peritubular,1124,0.10151734104046242,Control
HK2867,Fibroblast_1,103,0.009302745664739884,Control
HK2867,Fibroblast_2,44,0.003973988439306358,Control
HK2867,GS_Stromal,20,0.0018063583815028901,Control
HK2867,IC_A,122,0.01101878612716763,Control
HK2867,IC_B,109,0.00984465317919075,Control
HK2867,M_TAL,884,0.07984104046242775,Control
HK2867,Mac,96,0.008670520231213872,Control
HK2867,Macula_Densa,77,0.006954479768786127,Control
HK2867,Mes,28,0.0025289017341040463,Control
HK2867,MyoFib/VSMC,7,0.0006322254335260116,Control
HK2867,NK,101,0.009122109826589595,Control
HK2867,Neural_Cells,6,0.000541907514450867,Control
HK2867,Neutrophil,36,0.0032514450867052024,Control
HK2867,PC,29,0.0026192196531791907,Control
HK2867,PEC,52,0.004696531791907515,Control
HK2867,PT_S1,2099,0.18957731213872833,Control
HK2867,PT_S2,1003,0.09058887283236994,Control
HK2867,PT_S3,1492,0.1347543352601156,Control
HK2867,Plasma_Cells,6,0.000541907514450867,Control
HK2867,Podo,102,0.00921242774566474,Control
HK2867,RBC,2,0.000180635838150289,Control
HK2867,cDC,6,0.000541907514450867,Control
HK2867,iPT,383,0.034591763005780346,Control
HK2868,Ascending_Thin_LOH,12,0.0015428130624839291,HKD
HK2868,B_Naive,4,0.0005142710208279763,HKD
HK2868,B_memory,13,0.001671380817690923,HKD
HK2868,CD16_Mono,2,0.00025713551041398817,HKD
HK2868,CD4T,3,0.0003857032656209823,HKD
HK2868,CD8T,14,0.0017999485728979173,HKD
HK2868,CNT,783,0.10066855232707637,HKD
HK2868,C_TAL,537,0.06904088454615583,HKD
HK2868,DCT1,594,0.07636924659295449,HKD
HK2868,DCT2,261,0.03355618410902546,HKD
HK2868,Des-Thin_Limb,329,0.04229879146310105,HKD
HK2868,Endo_GC,125,0.016070969400874262,HKD
HK2868,Endo_Lymphatic,3,0.0003857032656209823,HKD
HK2868,Endo_Peritubular,932,0.11982514785291849,HKD
HK2868,Fibroblast_1,21,0.0026999228593468758,HKD
HK2868,Fibroblast_2,41,0.005271277963486758,HKD
HK2868,GS_Stromal,12,0.0015428130624839291,HKD
HK2868,IC_A,993,0.12766778092054512,HKD
HK2868,IC_B,125,0.016070969400874262,HKD
HK2868,M_TAL,45,0.005785548984314734,HKD
HK2868,Mac,6,0.0007714065312419646,HKD
HK2868,Macula_Densa,178,0.022885060426844947,HKD
HK2868,Mes,3,0.0003857032656209823,HKD
HK2868,NK,1,0.00012856775520699409,HKD
HK2868,Neural_Cells,3,0.0003857032656209823,HKD
HK2868,PC,550,0.07071226536384674,HKD
HK2868,PEC,15,0.0019285163281049112,HKD
HK2868,PT_S1,1297,0.16675237850347133,HKD
HK2868,PT_S2,263,0.033813319619439446,HKD
HK2868,PT_S3,45,0.005785548984314734,HKD
HK2868,Plasma_Cells,4,0.0005142710208279763,HKD
HK2868,Podo,27,0.0034713293905888403,HKD
HK2868,cDC,1,0.00012856775520699409,HKD
HK2868,iPT,536,0.06891231679094884,HKD
HK2891,Ascending_Thin_LOH,134,0.00858974358974359,HKD
HK2891,B_Naive,35,0.0022435897435897434,HKD
HK2891,B_memory,59,0.003782051282051282,HKD
HK2891,Baso/Mast,116,0.007435897435897436,HKD
HK2891,CD14_Mono,25,0.0016025641025641025,HKD
HK2891,CD16_Mono,106,0.006794871794871795,HKD
HK2891,CD4T,778,0.04987179487179487,HKD
HK2891,CD8T,615,0.03942307692307692,HKD
HK2891,CNT,549,0.03519230769230769,HKD
HK2891,C_TAL,802,0.051410256410256414,HKD
HK2891,DCT1,458,0.02935897435897436,HKD
HK2891,DCT2,276,0.01769230769230769,HKD
HK2891,Des-Thin_Limb,225,0.014423076923076924,HKD
HK2891,Endo_GC,643,0.04121794871794872,HKD
HK2891,Endo_Lymphatic,1,6.41025641025641e-05,HKD
HK2891,Endo_Peritubular,1542,0.09884615384615385,HKD
HK2891,Fibroblast_1,307,0.01967948717948718,HKD
HK2891,Fibroblast_2,186,0.011923076923076923,HKD
HK2891,GS_Stromal,32,0.0020512820512820513,HKD
HK2891,IC_A,855,0.05480769230769231,HKD
HK2891,IC_B,277,0.017756410256410258,HKD
HK2891,M_TAL,344,0.02205128205128205,HKD
HK2891,Mac,1172,0.07512820512820513,HKD
HK2891,Macula_Densa,236,0.015128205128205128,HKD
HK2891,Mes,10,0.000641025641025641,HKD
HK2891,MyoFib/VSMC,204,0.013076923076923076,HKD
HK2891,NK,220,0.014102564102564103,HKD
HK2891,Neural_Cells,11,0.0007051282051282052,HKD
HK2891,Neutrophil,171,0.010961538461538462,HKD
HK2891,PC,438,0.028076923076923076,HKD
HK2891,PEC,16,0.0010256410256410256,HKD
HK2891,PT_S1,2192,0.14051282051282052,HKD
HK2891,PT_S2,537,0.034423076923076924,HKD
HK2891,PT_S3,647,0.04147435897435897,HKD
HK2891,Plasma_Cells,8,0.0005128205128205128,HKD
HK2891,Podo,192,0.012307692307692308,HKD
HK2891,Prolif_Lym,7,0.0004487179487179487,HKD
HK2891,RBC,11,0.0007051282051282052,HKD
HK2891,cDC,2,0.0001282051282051282,HKD
HK2891,iPT,1144,0.07333333333333333,HKD
HK2891,pDC,17,0.0010897435897435897,HKD
HK2893,Ascending_Thin_LOH,6,0.00044375416019525185,Control
HK2893,B_memory,1,7.395902669920864e-05,Control
HK2893,CD16_Mono,4,0.00029583610679683456,Control
HK2893,CD4T,26,0.0019229346941794245,Control
HK2893,CD8T,203,0.015013682419939353,Control
HK2893,CNT,75,0.005546927002440648,Control
HK2893,C_TAL,1090,0.08061533910213742,Control
HK2893,DCT1,406,0.030027364839878706,Control
HK2893,DCT2,99,0.007321943643221655,Control
HK2893,Des-Thin_Limb,59,0.00436358257525331,Control
HK2893,Endo_GC,1448,0.10709267066045411,Control
HK2893,Endo_Lymphatic,17,0.0012573034538865468,Control
HK2893,Endo_Peritubular,950,0.07026107536424821,Control
HK2893,Fibroblast_1,416,0.030766955106870792,Control
HK2893,Fibroblast_2,699,0.051697359662746835,Control
HK2893,GS_Stromal,3,0.00022187708009762592,Control
HK2893,IC_A,337,0.02492419199763331,Control
HK2893,IC_B,216,0.015975149767029066,Control
HK2893,M_TAL,3058,0.22616670364618002,Control
HK2893,Mac,12,0.0008875083203905037,Control
HK2893,Macula_Densa,178,0.013164706752459138,Control
HK2893,Mes,28,0.002070852747577842,Control
HK2893,MyoFib/VSMC,221,0.01634494490052511,Control
HK2893,NK,40,0.0029583610679683454,Control
HK2893,Neural_Cells,1,7.395902669920864e-05,Control
HK2893,Neutrophil,2,0.00014791805339841728,Control
HK2893,PC,409,0.030249241919976334,Control
HK2893,PEC,30,0.002218770800976259,Control
HK2893,PT_S1,1045,0.07728718290067303,Control
HK2893,PT_S2,578,0.042748317432142593,Control
HK2893,PT_S3,1530,0.11315731084978922,Control
HK2893,Podo,46,0.0034021152281635972,Control
HK2893,Prolif_Lym,2,0.00014791805339841728,Control
HK2893,RBC,9,0.0006656312402928778,Control
HK2893,cDC,6,0.00044375416019525185,Control
HK2893,iPT,271,0.020042896235485542,Control
HK2895,Ascending_Thin_LOH,4,0.00026229508196721314,Control
HK2895,B_Naive,18,0.001180327868852459,Control
HK2895,B_memory,13,0.0008524590163934427,Control
HK2895,Baso/Mast,1,6.557377049180328e-05,Control
HK2895,CD14_Mono,1,6.557377049180328e-05,Control
HK2895,CD16_Mono,8,0.0005245901639344263,Control
HK2895,CD4T,115,0.0075409836065573775,Control
HK2895,CD8T,161,0.010557377049180328,Control
HK2895,CNT,406,0.02662295081967213,Control
HK2895,C_TAL,812,0.05324590163934426,Control
HK2895,DCT1,847,0.055540983606557376,Control
HK2895,DCT2,509,0.03337704918032787,Control
HK2895,Des-Thin_Limb,311,0.02039344262295082,Control
HK2895,Endo_GC,291,0.019081967213114753,Control
HK2895,Endo_Lymphatic,15,0.0009836065573770492,Control
HK2895,Endo_Peritubular,1203,0.07888524590163934,Control
HK2895,Fibroblast_1,184,0.012065573770491804,Control
HK2895,Fibroblast_2,51,0.0033442622950819673,Control
HK2895,GS_Stromal,13,0.0008524590163934427,Control
HK2895,IC_A,699,0.04583606557377049,Control
HK2895,IC_B,285,0.018688524590163933,Control
HK2895,M_TAL,101,0.006622950819672131,Control
HK2895,Mac,98,0.006426229508196721,Control
HK2895,Macula_Densa,219,0.014360655737704918,Control
HK2895,Mes,13,0.0008524590163934427,Control
HK2895,MyoFib/VSMC,28,0.0018360655737704918,Control
HK2895,NK,28,0.0018360655737704918,Control
HK2895,Neural_Cells,1,6.557377049180328e-05,Control
HK2895,Neutrophil,80,0.005245901639344262,Control
HK2895,PC,348,0.02281967213114754,Control
HK2895,PEC,31,0.0020327868852459017,Control
HK2895,PT_S1,3666,0.24039344262295081,Control
HK2895,PT_S2,2031,0.13318032786885245,Control
HK2895,PT_S3,1832,0.12013114754098361,Control
HK2895,Plasma_Cells,2,0.00013114754098360657,Control
HK2895,Podo,81,0.005311475409836066,Control
HK2895,RBC,10,0.0006557377049180328,Control
HK2895,cDC,4,0.00026229508196721314,Control
HK2895,iPT,730,0.04786885245901639,Control
HK2896,B_Naive,8,0.0019540791402051783,Control
HK2896,B_memory,21,0.005129457743038593,Control
HK2896,CD14_Mono,5,0.0012212994626282364,Control
HK2896,CD16_Mono,19,0.004640937957987298,Control
HK2896,CD4T,87,0.021250610649731314,Control
HK2896,CD8T,80,0.019540791402051783,Control
HK2896,CNT,22,0.00537371763556424,Control
HK2896,C_TAL,23,0.0056179775280898875,Control
HK2896,DCT1,9,0.0021983390327308255,Control
HK2896,DCT2,7,0.001709819247679531,Control
HK2896,Des-Thin_Limb,85,0.02076209086468002,Control
HK2896,Endo_GC,598,0.14606741573033707,Control
HK2896,Endo_Peritubular,128,0.03126526624328285,Control
HK2896,Fibroblast_1,1,0.0002442598925256473,Control
HK2896,Fibroblast_2,4,0.0009770395701025891,Control
