celltype,sample,n_cells,group,_lib,SLC5A10,CYFIP2,RELB,ACAT1,ARMC7,PAX8,ENPEP,IL1RL1,DCN,ALDH8A1,SLC2A9,SLC9A3,UMOD,PPARA,AMN,ACTA2,KCNJ15,PEPD,TNF,EFHD1,SOST,SLC17A3,ALDOB,MME,LGALS2,BDH2,FN1,BICC1,ICAM1,HAVCR1,TDGF1,TM7SF3,CD24,VCAM1,VIM,HOXA9,RGL3,COL1A1,JUN,DPEP1,TCN2,OCIAD2,SOX9,TWIST1,SNAI1,BCAM,CRB2,CCL2,CUBN,FOS,ACSF2,SHMT1,AOC1,HNF4A,PROM1,ACY1
Podo,HK2893,46,Control,145436.0,0.0,4.424972613038352,3.0739716649756206,3.5661292598454395,2.063804502233255,4.930996913178168,6.7889583318454845,0.0,5.025650577280048,2.6913619468094883,4.33904923843601,3.0739716649756206,5.937993137836812,5.300317482751406,3.0739716649756206,4.141274108713661,4.504093777818368,3.7437288441759664,0.0,4.709656560791842,0.0,0.0,0.0,7.526979617510844,0.0,0.0,3.0739716649756206,5.229228080799725,0.0,2.063804502233255,0.0,4.245043100871631,3.3500271217092035,0.0,4.979443241925128,3.0739716649756206,3.3500271217092035,0.0,3.7437288441759664,0.0,0.0,0.0,0.0,0.0,0.0,5.334052686944996,3.7437288441759664,0.0,5.937993137836812,2.6913619468094883,3.894492982895026,0.0,0.0,3.5661292598454395,2.063804502233255,3.3500271217092035
Podo,HK2774,648,HKD,3789613.0,0.8413067803613726,1.836985153780605,3.1426792876187193,3.2087902112101343,1.955750334700759,3.428110233582389,7.473829061057313,0.23418571177672382,5.43137803487619,1.836985153780605,2.8233264683911052,0.0,0.0,3.571451237550455,0.720527276510144,1.5463508445841316,2.4240314831558996,3.2505544617937616,0.0,2.9956973485336325,0.5831300413018286,1.2916517245343275,0.0,7.626120499417555,1.7021895839153223,2.7751550324989904,1.878160831728994,4.018596638196917,1.4884965183268917,2.02775075930359,0.5831300413018286,4.533607979026518,2.6340505448120357,2.9689540733807025,4.740295750829455,4.1049002611563035,2.02775075930359,2.0618958726415233,0.0,1.4884965183268917,1.5463508445841316,2.2170549621530773,0.8413067803613726,0.0,0.23418571177672382,4.879920486548785,4.374147157166739,1.6528933010295626,0.8413067803613726,0.5831300413018286,1.7021895839153223,1.878160831728994,0.720527276510144,1.2163694540561663,2.4471327400773633,1.0463200090209994
Podo,HK2899,70,Control,40821.0,0.0,0.0,0.0,3.2385684489050024,0.0,0.0,6.665569370196895,0.0,3.2385684489050024,0.0,0.0,3.2385684489050024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4618132795918095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.595006513254202,4.816127589747733,0.0,0.0,4.816127589747733,0.0,0.0,3.2385684489050024,0.0,0.0,0.0,5.283089816510718,4.310686168851709,0.0,0.0,6.335826092978688,0.0,0.0,0.0,0.0,3.2385684489050024,0.0
Podo,HK2895,81,Control,287396.0,2.4369899853410466,3.3616300297321824,3.0854412178521393,3.0854412178521393,1.4995157969126605,3.5778136799146223,6.78141901990931,0.0,6.435884305864809,2.074308275971673,2.074308275971673,0.0,1.4995157969126605,4.515983808086569,1.4995157969126605,2.074308275971673,2.4369899853410466,4.305009383799238,0.0,3.3616300297321824,3.2330405038813206,3.2330405038813206,5.568206960316025,7.512741667073067,2.9122200984667743,3.7554682448699515,1.4995157969126605,5.16464869248394,1.4995157969126605,1.4995157969126605,0.0,4.206346048899966,1.4995157969126605,2.9122200984667743,5.6448851971034975,3.475552435453162,2.4369899853410466,0.0,3.7554682448699515,1.4995157969126605,0.0,2.702573778956645,2.074308275971673,0.0,0.0,5.7932417454882765,4.62405147614317,1.4995157969126605,5.362468433374207,5.294974857747387,3.475552435453162,2.074308275971673,2.4369899853410466,3.6705809282872015,0.0,3.973922921365118
Podo,HK2868,27,HKD,60044.0,0.0,4.767128935964555,4.614394712965144,3.931106947130086,2.870988068880653,4.213871463177548,6.784101830143363,2.870988068880653,4.434052831097948,0.0,5.121249190603691,2.870988068880653,2.870988068880653,5.382235145092667,0.0,0.0,4.614394712965144,3.5354049939808934,0.0,4.614394712965144,0.0,3.931106947130086,0.0,7.356610996487519,0.0,2.870988068880653,0.0,5.589012100425098,0.0,0.0,0.0,3.931106947130086,5.216016626570664,3.931106947130086,4.899596667744916,3.931106947130086,4.899596667744916,2.870988068880653,3.5354049939808934,2.870988068880653,2.870988068880653,2.870988068880653,0.0,0.0,0.0,5.382235145092667,2.870988068880653,2.870988068880653,5.906445660567865,4.434052831097948,4.213871463177548,3.5354049939808934,3.5354049939808934,4.434052831097948,3.931106947130086,0.0
Podo,HK2663,106,Control,413517.0,2.5719556269701194,3.1252032880068623,3.012896232103344,2.7414644473218512,1.7641416727148838,4.330294930901098,6.905083180945149,0.0,4.582220961124713,2.886361608496058,4.036370158069842,1.2291375778716371,0.0,4.392017171621087,2.110799790998201,0.0,3.681161855583722,3.899253932377055,0.0,3.849026228936045,0.0,3.4793195827814,4.118337850737885,7.670240218108684,1.2291375778716371,3.1252032880068623,1.2291375778716371,4.762835704500397,1.2291375778716371,1.2291375778716371,1.7641416727148838,4.07819360723009,3.012896232103344,2.3677285301978466,4.531466055771546,4.118337850737885,3.681161855583722,0.0,0.0,3.55122309976125,0.0,2.7414644473218512,1.2291375778716371,0.0,0.0,5.179164726888143,4.07819360723009,0.0,5.492353482578558,4.392017171621087,3.3178550076745013,3.3178550076745013,0.0,2.886361608496058,1.2291375778716371,2.886361608496058
Podo,HK2867,102,Control,665640.0,1.7060092400499354,3.48273389061645,2.9458991102687486,3.2786278051148208,2.566372075924782,3.2786278051148208,7.291150657274905,0.9172157290870332,5.652269027565292,2.8636540640760706,2.6755836239084543,0.0,3.952755289777097,3.923484027785655,2.141426157630072,0.0,3.8622384764812194,3.3858792456121285,0.0,2.9458991102687486,3.4354787128506565,2.9458991102687486,2.141426157630072,7.482532481793276,0.9172157290870332,2.8636540640760706,1.7060092400499354,4.160400207588994,0.9172157290870332,0.9172157290870332,0.0,4.112389804971818,1.387450474007192,0.0,5.586909651996399,3.7969957688506235,0.9172157290870332,0.0,1.7060092400499354,1.9472313118705924,0.0,2.8636540640760706,0.0,0.0,0.0,5.68851132300604,5.401956823883913,0.0,4.833834674599045,0.9172157290870332,3.220355409989672,2.6755836239084543,0.0,3.1584760741067393,0.0,1.9472313118705924
Podo,HK2891,192,HKD,1364882.0,0.0,2.599372275971809,2.6523932414668256,1.9258987576961606,1.1625231776936469,3.4813802325157246,7.6047783811153735,0.5496601483936512,5.513056867737431,0.902324917603321,3.2546513158363943,0.0,2.4210165377474953,3.1660059680633026,0.5496601483936512,1.1625231776936469,2.8401661478370146,2.543381912881363,0.0,2.119460096482807,0.0,0.902324917603321,2.203792379849012,7.588220888372463,0.902324917603321,1.3688064034188512,0.0,3.8057697391136625,0.902324917603321,1.6856550500481435,0.0,4.336825261536254,2.9981925344953844,1.3688064034188512,5.028222805189653,3.899055865541097,1.1625231776936469,0.5496601483936512,3.7726348613988594,1.1625231776936469,1.9258987576961606,0.0,0.902324917603321,0.0,0.0,5.227701801470672,4.487733583639992,1.1625231776936469,4.1358668204089755,2.7964239827561133,2.281562542507126,1.5397277149392692,0.902324917603321,0.902324917603321,1.5397277149392692,0.902324917603321
Podo,HK2770,166,HKD,728274.0,2.0624921916796723,0.0,2.779080435733475,3.9474877148090544,0.0,0.0,7.178504698121366,0.0,4.182601896590679,0.0,2.4836455692251085,0.0,0.0,4.048256860586849,1.870638159017146,0.0,3.4837452608375403,2.779080435733475,0.0,1.6330233199464508,0.864201150596471,2.0624921916796723,4.6573481994453365,7.491594156434464,0.0,2.361963479738092,0.864201150596471,0.0,0.0,1.870638159017146,0.0,3.9474877148090544,0.864201150596471,0.0,4.223651592674126,4.117683757592096,2.936535429723747,0.0,0.864201150596471,2.4836455692251085,0.0,3.0068469757471425,0.0,0.0,0.0,4.337565558319866,3.920624795137269,0.0,4.2033373645386405,0.864201150596471,2.5921144189154384,0.864201150596471,0.864201150596471,0.0,0.0,1.6330233199464508
Podo,HK2711,42,HKD,216911.0,0.0,4.182700319343053,3.504695169840414,2.324382933309393,1.7245838285022976,3.8523124364196573,6.954173264115587,0.0,7.229436913045232,0.0,1.7245838285022976,3.7493080967148233,6.063197301549833,3.504695169840414,0.0,0.0,0.0,1.7245838285022976,1.7245838285022976,4.182700319343053,4.374160246291792,1.7245838285022976,2.696689730167524,7.805319281507227,0.0,2.696689730167524,2.967371017310945,5.658894991641344,1.7245838285022976,0.0,0.0,3.6344624955070115,4.109765293821233,2.967371017310945,7.074292542130248,2.696689730167524,3.7493080967148233,0.0,4.903015833291004,0.0,0.0,0.0,0.0,0.0,0.0,5.117794312265295,5.4643379182997185,0.0,2.324382933309393,4.484058820443765,2.324382933309393,2.324382933309393,0.0,0.0,3.504695169840414,0.0
Podo,HK2713,26,Control,20807.0,0.0,0.0,0.0,0.0,0.0,0.0,5.667687113922247,0.0,4.575962747012446,0.0,3.8930593013813404,3.8930593013813404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.646354125332986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.486056488185424,4.575962747012446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.954504850687313,5.2639484391824425,0.0,5.2639484391824425,4.575962747012446,0.0,0.0,0.0,0.0,0.0,0.0
